respnum,ccgid,runid,intdate,day,gate,barea,strata,peak,method,saq,airline,destination,flight,airline_code,dest_code,destgeo,destmark,arrtime,deptime,howlong,q2purp1,q2purp2,q2purp3,q3getto1,q3getto2,q3getto3,q3park,q4bags,q4store,q4food,q4wifi,q5timesflown,q5firsttime,q6longuse,q7art,q7food,q7store,q7sign,q7walkway,q7screens,q7infodown,q7infoup,q7wifi,q7roads,q7park,q7airtrain,q7ltparking,q7rental,q7all,q8suggest1,q8suggest2,q8suggest3,q8suggest4,q8suggest5,q9boarding,q9airtrain,q9rental,q9food,q9restroom,q9all,q9com1,q9com2,q9com3,q10safe,q10com1,q10com2,q10com3,q11tsapre,q12precheckrate,q12com1,q12com2,q12com3,q13county,q13getrate,q14find,q14passthru,q15problem,q15com1,q15com2,q15com3,netpro,q17live,q18city,q18state,q18zip,q18country,home,q20age,q21gender,q22income,q23fly,q24sjc,q24oak,lang,weight,promoter,netpro_type
1773,2217,394,25,5,4,A,3,2,1,2,SUN COUNTRY,MINNEAPOLIS-ST. PAUL,396,26,39,3,4,3:45 PM,18:00:00,135,3,,,1,,,4,1,2,1,2,3,1,4,5,4,3,3,3,3,3,3,6,3,3,6,6,6,4,0,,,,,4,6,6,4,3,4,0,,,4,8,,,1,5,1,,,17,4,5,5,2,,,,10,2,,,,,91,6,4,4,3,1,1,1,0.723115625,1,2
1774,2571,407,24,4,12,A,1,1,1,2,JETBLUE,LAS VEGAS,2288,20,30,1,4,7:40 AM,08:59:00,79,2,,,5,,,,2,2,2,1,3,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4,6,4,0,,,,,5,5,6,4,4,4,0,,,4,0,,,1,4,1,,,7,3,5,5,2,,,,9,1,MOUNTAIN VIEW,CA,94040.0,US,4,3,2,4,3,1,2,1,0.3778995412844037,1,2
1775,2218,394,25,5,4,A,3,2,1,2,SUN COUNTRY,MINNEAPOLIS-ST. PAUL,396,26,39,3,4,3:30 PM,18:00:00,150,3,,,1,,,4,2,1,1,2,3,1,1,4,3,3,3,3,3,3,3,3,4,3,3,6,6,3,0,,,,,4,6,6,3,3,3,0,,,3,0,,,2,,,,,7,3,3,2,2,,,,8,3,MINNEAPOLIS,MN,55439.0,US,11,4,1,3,3,2,2,1,0.723115625,1,2
1776,2572,407,24,4,12,A,1,1,1,2,JETBLUE,LAS VEGAS,2288,20,30,1,4,7:30 AM,08:59:00,89,2,,,2,,,,2,2,2,1,3,1,2,3,2,2,4,4,4,4,4,4,4,4,6,6,6,3,0,,,,,4,6,6,6,3,3,0,,,4,0,,,3,,,,,7,4,5,5,2,,,,7,1,SAN JOSE,CA,,US,4,4,1,3,2,1,2,1,0.3778995412844037,1,2
1777,2573,407,24,4,12,A,1,1,1,2,JETBLUE,LAS VEGAS,2288,20,30,1,4,7:15 AM,08:59:00,104,2,,,8,,,,2,2,2,2,1,2,1,6,6,6,4,4,5,6,6,6,4,6,6,6,6,4,0,,,,,4,6,6,6,4,4,0,,,4,0,,,1,3,0,,,5,4,4,4,2,,,,6,3,LEICESTER,,,UK,15,5,1,1,2,2,4,1,0.3778995412844037,0,1
1778,2219,394,25,5,4,A,3,2,1,2,SUN COUNTRY,MINNEAPOLIS-ST. PAUL,396,26,39,3,4,4:15 PM,18:00:00,105,3,,,5,6.0,,,1,2,2,1,3,1,4,6,4,4,5,5,5,6,6,5,5,5,5,4,6,4,102,,,,,4,5,6,4,4,4,12,,,4,6,,,2,,,,,6,4,5,5,2,,,,10,1,SAN MATEO,CA,94402.0,US,2,3,2,3,2,1,2,1,0.723115625,1,2
1779,2574,407,24,4,12,A,1,1,1,2,JETBLUE,LAS VEGAS,2288,20,30,1,4,7:15 AM,08:59:00,104,2,,,8,,,,2,2,2,2,1,2,1,6,6,6,4,4,4,6,6,1,4,6,6,6,6,4,0,,,,,4,6,6,6,4,4,0,,,4,0,,,0,,,,,5,3,4,4,2,,,,5,3,LEICESTER,,,UK,15,5,2,0,2,2,2,1,0.3778995412844037,0,1
1780,2220,394,25,5,4,A,3,2,1,2,SUN COUNTRY,MINNEAPOLIS-ST. PAUL,396,26,39,3,4,16:00:00,18:00:00,120,3,,,6,,,,1,1,0,0,1,1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,,,,4,4,0,0,4,4,0,,,4,0,,,1,5,1,,,1,3,2,4,1,5.0,,,5,1,ALBANY,CA,94706.0,US,3,7,0,0,4,2,1,1,0.723115625,0,1
1781,2575,407,24,4,12,A,1,1,1,2,JETBLUE,LAS VEGAS,2288,20,30,1,4,6:55 AM,08:59:00,124,5,,,2,,,,2,2,1,1,1,1,4,6,4,6,3,3,4,6,6,5,6,6,4,6,6,4,0,,,,,5,4,6,4,4,4,0,,,4,4,,,1,5,1,,,5,3,3,3,2,,,,10,3,WEST LAFAYETTE,IN,47906.0,US,11,7,2,2,2,2,2,1,0.3778995412844037,1,2
1782,2221,394,25,5,4,A,3,2,1,2,SUN COUNTRY,MINNEAPOLIS-ST. PAUL,396,26,39,3,4,2:35 PM,18:00:00,205,3,,,1,,,3,1,1,1,2,2,1,4,5,3,4,4,4,4,4,4,5,4,4,4,4,5,5,0,,,,,4,6,6,4,5,4,0,,,5,0,,,1,1,3,,,2,4,4,4,1,32.0,,,9,1,LAFAYETTE,CA,94549.0,US,5,1,1,3,2,2,2,1,0.723115625,1,2
