respnum,ccgid,runid,intdate,day,gate,barea,strata,peak,method,saq,airline,destination,flight,airline_code,dest_code,destgeo,destmark,arrtime,deptime,howlong,q2purp1,q2purp2,q2purp3,q3getto1,q3getto2,q3getto3,q3park,q4bags,q4store,q4food,q4wifi,q5timesflown,q5firsttime,q6longuse,q7art,q7food,q7store,q7sign,q7walkway,q7screens,q7infodown,q7infoup,q7wifi,q7roads,q7park,q7airtrain,q7ltparking,q7rental,q7all,q8suggest1,q8suggest2,q8suggest3,q8suggest4,q8suggest5,q9boarding,q9airtrain,q9rental,q9food,q9restroom,q9all,q9com1,q9com2,q9com3,q10safe,q10com1,q10com2,q10com3,q11tsapre,q12precheckrate,q12com1,q12com2,q12com3,q13county,q13getrate,q14find,q14passthru,q15problem,q15com1,q15com2,q15com3,netpro,q17live,q18city,q18state,q18zip,q18country,home,q20age,q21gender,q22income,q23fly,q24sjc,q24oak,lang,weight,promoter,netpro_type
1,522,233,13,7,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:00:00,09:30:00,210,2,,,7,,,,1,2,2,1,1,1,1,6,6,6,3,3,3,6,6,4,6,6,6,6,6,4,0,,,,,5,6,6,6,4,4,0,,,4,3,,,2,,,,,5,4,4,4,2,,,,6,3,MONTREAL,QC,,CANADA,13,5,2,3,1,2,2,1,0.2847177142857143,0,1
2,504,237,13,7,75,F,2,3,1,1,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:00:00,12:55:00,235,4,,,6,,,,2,1,1,2,3,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,,,,,3,3,3,3,3,3,0,,,3,11,,,2,,,,,1,3,4,5,2,,,,7,1,BERKELEY,CA,94546.0,US,3,3,1,1,2,2,2,1,0.9440823788546255,1,2
3,523,233,13,7,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,8:30 AM,09:30:00,60,2,,,3,,,,0,0,1,1,1,1,4,5,5,4,4,4,4,6,6,5,6,6,6,6,6,4,14,,,,,5,6,6,5,5,5,0,,,4,6,,,4,,,,,11,0,5,6,2,,,,5,3,RENO,NV,89511.0,US,10,6,2,3,2,2,1,1,0.2847177142857143,0,1
4,505,237,13,7,75,F,2,3,1,1,UNITED INTL,MEXICO CITY,821,29,37,4,4,10:00:00,12:55:00,175,2,,,9,,,,1,1,1,1,0,0,0,5,5,5,5,5,5,3,3,3,4,4,4,4,4,4,0,,,,,4,4,4,4,4,4,0,,,4,0,,,2,,,,,5,5,5,5,2,,,,7,1,SAN FRANCISCO,CA,94128.0,US,1,5,2,2,2,1,1,1,0.9440823788546255,1,2
5,524,233,13,7,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,7:00:00,09:30:00,150,2,3.0,,5,,,,1,1,1,2,1,1,2,6,3,3,4,4,4,4,4,2,4,6,6,6,6,4,0,,,,,5,6,6,5,5,5,0,,,5,0,,,2,,,,,5,5,5,5,2,,,,9,3,MONTREAL,QC,,CANADA,13,4,2,4,1,2,2,1,0.2847177142857143,1,2
6,525,233,13,7,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,7:30 AM,09:30:00,120,1,,,3,,,,1,1,1,1,1,1,2,3,3,3,4,4,4,3,6,3,4,4,6,6,6,4,0,,,,,5,6,6,5,5,5,0,,,4,1,2.0,3.0,0,,,,,11,4,4,5,2,,,,10,3,MONTREAL,QC,,CANADA,13,5,1,0,2,2,2,1,0.2847177142857143,1,2
7,506,237,13,7,75,F,2,3,1,1,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:30 AM,12:55:00,205,2,,,12,,,,1,2,2,2,0,0,0,4,4,3,3,3,4,4,4,4,3,0,4,4,4,4,32,,,,,4,4,4,4,4,4,0,,,4,15,,,1,5,1,,,7,3,3,3,2,,,,8,1,SAN JOSE,CA,95104.0,US,4,4,1,4,2,2,2,1,0.9440823788546255,1,2
8,526,233,13,7,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:30 AM,09:30:00,180,2,,,0,,,,1,2,1,2,1,2,1,6,4,6,4,4,4,6,6,6,6,6,6,6,6,4,0,,,,,4,6,6,4,4,4,0,,,5,0,,,1,4,0,,,5,4,4,4,2,,,,9,3,MONCTON,NB,,CANADA,13,6,2,2,3,3,4,1,0.2847177142857143,1,2
9,507,237,13,7,75,F,2,3,1,1,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:30 AM,12:55:00,205,4,,,3,,,,1,1,1,1,2,1,1,5,3,4,5,5,5,5,5,5,6,6,6,6,6,4,8,,,,,5,5,5,5,5,5,0,,,5,1,,,3,,,,,11,5,5,5,2,,,,9,3,MEXICO CITY,,,MEXICO,13,2,1,1,2,2,2,2,0.9440823788546255,1,2
10,527,233,13,7,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:30 AM,09:30:00,180,2,,,7,,,,1,1,1,1,1,1,3,6,4,4,5,5,5,6,6,4,6,6,6,6,6,5,1,8.0,,,,5,6,6,4,3,5,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,10,3,,NB,,CANADA,13,4,2,0,1,2,2,1,0.2847177142857143,1,2
11,528,233,13,7,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:30 AM,09:30:00,180,2,,,7,,,,1,1,1,2,1,2,1,6,3,0,4,4,4,0,0,0,0,0,0,0,0,4,0,,,,,5,0,0,5,5,5,0,,,5,0,,,1,5,0,,,5,0,5,5,2,,,,9,3,MONCTON,NB,,CANADA,13,7,1,2,2,2,2,1,0.2847177142857143,1,2
12,508,237,13,7,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,7:00:00,12:55:00,355,3,,,3,,,,2,1,1,1,3,1,4,3,3,3,3,3,1,3,3,4,3,3,3,3,3,3,0,,,,,4,4,4,4,4,4,0,,,4,0,,,2,,,,,11,4,6,6,2,,,,8,3,HONG KONG,,,CHINA,16,4,1,4,1,1,4,2,0.9440823788546255,1,2
13,529,233,13,7,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,8:00:00,09:30:00,90,2,,,3,,,,0,1,1,1,3,1,2,4,3,3,4,4,4,3,3,5,6,6,6,6,6,6,102,151.0,,,,4,6,6,4,4,4,0,,,4,4,12.0,,4,,,,,11,4,4,6,2,,,,8,3,MONTREAL,QC,,CANADA,13,6,1,4,1,2,2,1,0.2847177142857143,1,2
14,509,237,13,7,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:30 AM,12:55:00,205,4,,,3,,,,1,1,1,0,2,1,1,5,3,4,5,5,5,5,5,5,6,6,6,6,6,4,8,,,,,5,6,6,5,5,5,0,,,5,1,,,3,,,,,11,5,5,5,2,,,,9,3,,,,MEXICO,13,6,4,1,4,4,3,2,0.9440823788546255,1,2
15,530,233,13,7,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:35 AM,09:30:00,175,2,,,3,,,,0,1,1,1,1,1,3,5,5,5,5,4,5,6,6,5,0,0,0,0,0,5,4,,,,,5,0,0,5,5,5,0,,,5,0,,,2,,,,,11,5,5,0,2,,,,10,2,WOODLAND,CA,95695.0,US,10,6,2,2,2,2,2,1,0.2847177142857143,1,2
16,510,237,13,7,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,8:45 AM,12:55:00,250,1,,,3,,,,2,2,2,1,6,1,3,0,5,4,4,5,5,5,5,5,0,0,0,0,0,5,0,,,,,5,0,0,5,0,5,0,,,5,0,,,1,5,0,,,11,5,4,5,2,,,,10,3,,,,MEXICO,13,6,1,3,1,4,4,2,0.9440823788546255,1,2
17,531,233,13,7,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,7:55 AM,09:30:00,95,1,,,5,,,,2,1,2,2,1,1,3,3,4,5,4,3,4,6,6,6,6,6,6,6,6,4,0,,,,,4,6,6,6,6,4,0,,,4,0,,,2,,,,,5,4,4,4,2,,,,8,3,MONTREAL,QC,,CANADA,13,4,1,2,2,2,2,1,0.2847177142857143,1,2
18,532,233,13,7,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,7:30 AM,09:30:00,120,1,,,3,,,,2,2,2,1,1,2,1,5,3,3,4,3,5,3,3,5,6,6,6,6,6,6,12,,,,,5,3,3,3,3,4,0,,,5,3,,,2,,,,,11,6,5,6,2,,,,10,3,,NB,,CANADA,13,5,2,0,1,2,2,1,0.2847177142857143,1,2
19,511,237,13,7,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,10:15 AM,12:55:00,160,1,,,5,,,,1,1,1,2,1,2,1,6,5,4,5,5,5,6,6,6,6,6,6,6,6,4,1,,,,,5,6,6,5,4,5,0,,,5,4,,,2,,,,,5,5,5,5,2,,,,10,3,MEXICO CITY,,,MEXICO,13,3,1,2,1,2,2,2,0.9440823788546255,1,2
20,533,233,13,7,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:00:00,09:30:00,210,2,,,9,,,,1,2,1,2,1,2,1,5,3,5,4,4,4,6,6,6,4,6,5,6,5,5,104,,,,,5,5,5,5,5,5,0,,,5,4,,,1,5,1,,,5,5,4,5,2,,,,10,3,MONT TREMBLANT,QC,,CANADA,13,5,2,0,2,2,2,1,0.2847177142857143,1,2
21,534,233,13,7,92,G,1,3,1,1,AIR CANADA,MONTREAL,760,3,40,4,2,6:50 AM,09:30:00,160,1,,,6,,,,2,1,1,1,2,1,3,3,3,3,5,5,5,6,6,4,4,4,4,6,6,4,14,,,,,4,4,4,4,4,4,0,,,4,17,,,1,3,4,,,1,3,3,3,2,,,,7,3,MONTREAL,QC,,CANADA,13,5,2,3,1,1,1,1,0.2847177142857143,1,2
22,512,237,13,7,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,10:40 AM,12:55:00,135,2,3.0,,5,,,,1,1,2,1,3,1,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,0,,,,,4,4,4,4,4,4,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,8,1,SAN FRANCISCO,CA,94117.0,US,1,3,2,2,1,2,2,1,0.9440823788546255,1,2
23,535,233,13,7,92,G,1,3,1,1,AIR CANADA,MONTREAL,760,3,40,4,2,7:30 AM,09:30:00,120,1,,,5,,,,2,2,2,2,2,1,2,3,3,5,5,5,5,6,6,4,4,3,4,6,6,4,105,,,,,4,5,5,5,5,5,1,,,4,4,,,1,5,1,,,5,5,5,5,2,,,,8,1,SAN FRANCISCO,CA,94110.0,US,1,5,1,4,1,1,1,1,0.2847177142857143,1,2
24,513,237,13,7,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,10:00:00,12:55:00,175,6,,,3,,,,1,0,0,0,2,1,1,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,,,,,3,4,4,3,2,3,0,,,4,6,,,1,5,13,,,11,3,3,3,2,,,,6,3,ANCHORAGE,AK,99515.0,US,10,5,4,4,1,1,1,1,0.9440823788546255,0,1
25,536,233,13,7,92,G,1,3,1,1,AIR CANADA,MONTREAL,760,3,40,4,2,7:00:00,09:30:00,150,3,,,6,,,,1,2,2,2,2,1,4,3,3,3,3,3,3,2,3,6,6,6,6,6,6,3,14,208.0,,,,3,3,6,3,3,3,0,,,3,4,,,2,,,,,5,4,5,5,2,,,,8,3,MONTREAL,QC,,CANADA,13,5,1,2,2,2,2,1,0.2847177142857143,1,2
26,537,233,13,7,92,G,1,3,1,1,AIR CANADA,MONTREAL,760,3,40,4,2,N,09:30:00,N,3,,,5,,,,0,0,0,0,2,1,3,4,4,4,4,4,4,4,4,4,6,6,6,6,6,4,32,,,,,4,4,6,4,4,4,0,,,4,4,,,2,,,,,5,5,5,5,2,,,,9,3,CALGARY,AB,,CANADA,13,4,2,1,2,2,2,1,0.2847177142857143,1,2
27,538,233,13,7,92,G,1,3,1,1,AIR CANADA,MONTREAL,760,3,40,4,2,N,09:30:00,N,3,,,6,,,,1,1,2,2,3,1,4,4,4,4,4,4,4,4,4,4,6,6,4,6,6,6,62,,,,,4,4,0,4,4,4,0,,,3,1,,,2,,,,,5,4,3,5,2,,,,8,3,TORONTO,ON,,CANADA,13,5,2,1,2,2,2,1,0.2847177142857143,1,2
28,514,237,13,7,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,11:15 AM,12:55:00,100,0,,,4,,,,1,2,2,1,1,1,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,54,,,,,5,5,4,4,4,4,0,,,4,0,,,1,3,4,,,0,5,5,5,2,,,,9,3,MEXICO CITY,,,MEXICO,13,4,2,2,3,2,4,1,0.9440823788546255,1,2
29,625,238,13,7,98,G,2,3,1,1,UNITED INTL,FRANKFURT,58,29,21,6,4,12:00:00,14:00:00,120,1,,,6,,,,2,1,2,2,4,1,4,4,3,3,4,4,3,6,2,5,5,5,3,3,3,4,1,,,,,4,4,4,4,4,4,1,,,5,4,,,1,5,1,,,0,5,5,5,2,,,,6,1,MOUNTAIN VIEW,CA,94040.0,US,4,5,1,4,1,1,2,1,0.9440823788546255,0,1
30,515,237,13,7,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,8:50 AM,12:55:00,245,1,,,3,,,,2,2,1,1,2,1,1,4,4,3,4,4,0,5,3,5,6,6,6,6,6,4,0,,,,,5,6,6,4,5,4,0,,,5,0,,,2,,,,,11,5,5,3,2,,,,9,3,SHENZHEN,,,CHINA,16,4,1,1,2,2,2,1,0.9440823788546255,1,2
31,516,237,13,7,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,8:00:00,12:55:00,295,2,,,3,,,,1,1,0,1,2,1,4,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,3,,,,,5,5,0,0,4,4,0,,,5,4,,,4,,,,,11,0,5,4,2,,,,10,3,,,,MEXICO,13,3,2,1,2,2,2,1,0.9440823788546255,1,2
32,626,238,13,7,98,G,2,3,1,1,UNITED INTL,FRANKFURT,58,29,21,6,4,11:30 AM,14:00:00,150,3,,,6,,,,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,22,61.0,,,,5,5,5,5,5,5,1,,,3,15,,,2,,,,,0,2,2,1,1,1.0,,,3,3,FRANKFURT,,,GERMANY,15,3,1,1,2,2,2,1,0.9440823788546255,0,0
33,627,238,13,7,98,G,2,3,1,2,UNITED INTL,FRANKFURT,58,29,21,6,4,11:00:00,14:00:00,180,2,,,0,,,,1,2,1,1,2,1,1,5,2,4,5,5,5,4,5,5,6,6,6,6,6,4,102,105.0,,,,4,6,6,4,4,4,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,9,1,SAN FRANCISCO,CA,94110.0,US,1,3,1,1,3,2,2,1,0.9440823788546255,1,2
34,517,237,13,7,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,10:50 AM,12:55:00,125,2,,,2,,,,2,2,1,1,3,1,3,5,4,4,4,5,5,5,5,5,5,6,4,6,5,5,101,,,,,5,5,5,5,5,5,0,,,5,0,,,2,,,,,6,0,5,5,2,,,,9,1,SOUTH SAN FRANCISCO,CA,94080.0,US,2,3,2,3,2,2,4,1,0.9440823788546255,1,2
35,628,238,13,7,98,G,2,3,1,2,UNITED INTL,FRANKFURT,58,29,21,6,4,12:00:00,14:00:00,120,3,,,5,,,,1,1,2,1,3,1,2,2,1,2,4,4,3,3,3,4,3,3,4,3,4,2,105,14.0,,,,3,4,3,2,3,3,0,,,2,0,,,0,,,,,5,3,4,0,2,,,,5,1,SAN FRANCISCO,CA,94114.0,US,1,3,2,4,1,1,1,1,0.9440823788546255,0,1
36,518,237,13,7,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,8:00:00,12:55:00,295,0,,,3,,,,1,2,1,1,2,1,1,6,3,3,4,4,4,4,4,5,6,6,6,6,6,4,0,,,,,5,6,6,4,4,4,0,,,3,0,,,0,,,,,11,6,6,3,2,,,,8,3,,,,MEXICO,13,4,2,0,2,2,2,1,0.9440823788546255,1,2
37,629,238,13,7,98,G,2,3,1,2,UNITED INTL,FRANKFURT,58,29,21,6,4,11:00:00,14:00:00,180,2,,,5,,,,0,2,2,1,1,1,0,6,2,3,4,4,6,6,6,5,6,6,6,6,6,3,0,,,,,4,6,6,3,3,4,0,,,4,0,,,1,0,0,,,5,4,5,5,2,,,,7,3,SANNARA,,,ITALY,15,2,1,0,2,2,2,1,0.9440823788546255,1,2
38,630,238,13,7,98,G,2,3,1,2,UNITED INTL,FRANKFURT,58,29,21,6,4,11:30 AM,14:00:00,150,2,,,5,,,,1,2,1,1,2,2,1,3,3,3,4,4,4,4,4,3,5,4,6,6,6,4,0,,,,,4,6,6,4,4,4,0,,,4,0,,,1,6,0,,,5,4,4,4,2,,,,8,3,CAPPADA,,,ITALY,15,2,1,0,2,2,2,1,0.9440823788546255,1,2
39,519,237,13,7,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:00:00,12:55:00,235,1,,,0,,,,1,2,1,1,2,1,1,6,3,6,3,3,2,3,0,5,6,6,6,6,6,3,204,,,,,4,6,6,4,4,4,0,,,5,0,,,0,,,,,0,6,5,4,2,,,,8,3,,,,MEXICO,13,4,2,0,2,2,2,1,0.9440823788546255,1,2
40,631,238,13,7,98,G,2,3,1,2,UNITED INTL,FRANKFURT,58,29,21,6,4,12:00:00,14:00:00,120,2,,,0,,,,1,0,0,1,2,1,1,6,6,6,4,4,4,4,4,4,6,6,6,6,6,4,0,,,,,4,6,6,6,4,4,0,,,4,0,,,1,5,0,,,7,5,5,5,2,,,,7,1,SAN JOSE,CA,95108.0,US,4,3,2,0,2,2,2,1,0.9440823788546255,1,2
41,520,237,13,7,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,11:30 AM,12:55:00,85,1,,,1,,,2,2,2,2,2,3,1,2,3,3,3,3,4,4,4,4,5,3,3,6,6,6,4,18,63.0,60.0,,,5,6,6,0,4,4,0,,,5,15,,,2,,,,,5,4,4,4,2,,,,9,1,SAN FRANCISCO,CA,94118.0,US,1,3,2,3,3,1,4,1,0.9440823788546255,1,2
42,643,277,15,2,24,B,1,1,1,1,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:30 AM,08:15:00,105,3,,,2,,,,1,2,1,2,2,1,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,4,1,,,,,5,6,6,5,5,4,0,,,4,0,,,1,5,1,,,5,4,4,5,2,,,,10,3,LAKE HAVASU,AZ,86406.0,US,10,6,2,3,2,2,2,1,1.1156485207100593,1,2
43,521,237,13,7,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,10:30 AM,12:55:00,145,2,,,5,,,,1,1,1,2,4,1,2,6,1,3,4,4,4,6,6,2,5,5,6,6,3,4,109,,,,,5,6,5,5,2,4,0,,,5,0,,,2,,,,,7,5,5,5,1,13.0,,,5,1,SAN JOSE,CA,95123.0,US,4,3,1,4,1,1,2,1,0.9440823788546255,0,1
44,642,277,15,2,24,B,1,1,1,1,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:30 AM,08:15:00,105,3,,,5,,,,1,2,2,2,3,1,4,2,3,3,4,6,4,6,6,6,1,3,4,6,4,4,71,65.0,,,,5,4,4,5,4,4,0,,,5,2,,,2,,,,,5,5,5,4,2,,,,8,3,COLUMBUS,OH,43015.0,US,11,5,1,4,1,1,2,1,1.1156485207100593,1,2
45,651,258,14,1,59,D,2,1,1,1,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,9:30 AM,11:40:00,130,1,,,2,,,,2,2,0,1,3,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,101,,,,,5,5,5,5,5,5,0,,,4,21,,,1,5,1,,,6,5,5,5,2,,,,10,1,SAN BRUNO,CA,94066.0,US,2,6,1,4,2,2,2,1,1.477877966101695,1,2
46,644,277,15,2,24,B,1,1,1,2,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:30 AM,08:15:00,105,3,,,2,,,,2,1,2,2,3,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,,,,,5,5,5,5,5,5,1,,,5,2,,,2,,,,,5,5,5,5,2,,,,10,1,SAN FRANCISCO,CA,,US,1,5,2,3,2,2,2,1,1.1156485207100593,1,2
47,652,258,14,1,59,D,2,1,1,1,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,10:00:00,11:40:00,100,2,,,8,,,,1,2,2,2,2,1,4,4,6,6,4,4,4,6,6,6,6,6,4,6,6,4,206,,,,,4,6,6,6,3,4,0,,,3,20,,,2,,,,,6,5,5,3,1,33.0,,,8,2,POINT ARENA,CA,95468.0,US,10,7,2,0,2,2,2,1,1.477877966101695,1,2
48,645,277,15,2,24,B,1,1,1,2,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:45 AM,08:15:00,90,3,,,2,,,,1,2,2,1,3,1,4,6,3,3,3,6,3,3,3,3,3,6,6,6,6,3,0,,,,,3,6,6,4,4,3,4,,,5,0,,,1,5,1,,,6,3,3,4,2,,,,6,3,LOUISVILLE,KY,40025.0,US,11,6,2,0,2,2,2,1,1.1156485207100593,0,1
49,646,277,15,2,24,B,1,1,1,2,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:15 AM,08:15:00,120,2,,,3,,,,0,1,1,0,1,2,1,3,2,3,3,4,0,0,0,0,0,0,0,0,0,0,0,,,,,3,0,0,3,0,0,0,,,4,0,,,0,,,,,11,4,4,4,2,,,,7,3,,,,AUSTRALIA,19,6,1,3,2,2,2,1,1.1156485207100593,1,2
50,653,258,14,1,59,D,2,1,1,1,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,9:45 AM,11:40:00,115,2,,,5,,,,2,2,2,1,3,1,2,4,3,3,4,4,4,6,6,5,4,4,4,4,4,4,102,1.0,,,,5,5,5,4,4,5,0,,,4,0,,,2,,,,,5,4,5,5,2,,,,8,1,BERKELEY,CA,94704.0,US,3,2,2,2,1,2,1,1,1.477877966101695,1,2
51,654,258,14,1,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,8:50 AM,11:40:00,170,2,,,1,,,3,1,1,1,1,2,1,4,4,3,3,4,4,4,4,3,4,4,5,4,4,4,4,0,,,,,4,4,6,3,4,4,0,,,5,2,,,1,5,2,,,5,4,4,4,2,,,,9,1,SAN FRANCISCO,CA,,US,1,4,2,1,2,2,2,1,1.477877966101695,1,2
52,647,277,15,2,24,B,1,1,1,2,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:40 AM,08:15:00,95,3,,,5,,,,2,2,1,1,1,2,1,4,5,6,4,6,6,6,6,4,6,6,6,6,6,5,1,,,,,5,6,6,5,5,5,6,,,5,3,,,2,,,,,5,5,5,5,2,,,,10,3,OMAHA,NE,68154.0,US,11,3,2,2,2,2,2,1,1.1156485207100593,1,2
53,648,277,15,2,24,B,1,1,1,2,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:15 AM,08:15:00,120,1,,,7,,,,1,1,1,1,3,1,2,3,3,3,4,3,4,4,4,4,5,6,4,4,6,3,0,,,,,4,4,6,3,4,4,0,,,4,0,,,1,5,0,,,6,4,4,4,2,,,,8,1,REDWOOD CITY,CA,94062.0,US,2,6,2,2,2,1,2,1,1.1156485207100593,1,2
54,655,258,14,1,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,N,11:40:00,N,3,,,2,,,,1,0,0,0,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,,,,,3,3,3,3,3,3,0,,,4,0,,,0,,,,,2,4,4,4,3,,,,6,1,ANTIOCH,CA,94509.0,US,5,4,1,2,2,4,1,1,1.477877966101695,0,1
55,649,277,15,2,24,B,1,1,1,2,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:15 AM,08:15:00,120,2,,,8,,,,1,1,2,2,1,2,1,3,3,3,4,4,3,4,6,6,6,6,6,6,6,3,31,43.0,,,,4,6,6,4,4,3,13,,,4,0,,,2,,,,,5,4,4,4,2,,,,0,3,,,,,99,3,2,0,2,2,2,1,1.1156485207100593,0,0
56,656,258,14,1,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,9:50 AM,11:40:00,110,2,,,2,,,,1,2,1,2,2,1,4,3,4,4,4,4,4,2,2,6,2,2,2,6,6,3,0,,,,,4,6,6,4,4,4,0,,,4,0,,,1,3,0,,,6,4,4,3,2,,,,7,1,,,,,90,3,2,0,2,2,2,1,1.477877966101695,1,2
57,650,277,15,2,24,B,1,1,1,2,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:20 AM,08:15:00,115,2,,,2,,,,1,2,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,0,,,,,3,3,3,3,3,3,0,,,4,0,,,2,,,,,6,5,5,5,2,,,,9,1,MILLBRAE,CA,94030.0,US,2,6,2,2,2,2,2,1,1.1156485207100593,1,2
58,657,258,14,1,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,10:00:00,11:40:00,100,2,,,6,,,,1,2,2,1,1,2,1,4,4,4,5,5,5,5,5,4,4,6,5,6,6,0,0,,,,,5,5,6,6,5,4,0,,,4,4,,,1,4,0,,,5,4,4,4,2,,,,10,3,ST. JEAN DE LUE,,,FRANCE,15,4,2,1,2,2,2,1,1.477877966101695,1,2
59,658,258,14,1,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,10:15 AM,11:40:00,85,1,2.0,,2,,,,0,1,1,1,2,1,4,3,3,4,4,5,5,5,5,5,4,4,4,4,3,5,0,,,,,5,4,5,5,5,5,0,,,4,6,,,2,,,,,1,4,5,5,2,,,,10,1,ALAMEDA,CA,94502.0,US,3,3,2,2,2,2,1,1,1.477877966101695,1,2
60,659,258,14,1,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,10:00:00,11:40:00,100,2,,,5,,,,1,0,1,0,1,2,1,3,4,3,4,4,4,4,4,4,4,4,4,6,4,4,0,,,,,5,4,5,5,5,5,0,,,5,2,,,2,,,,,5,5,5,5,2,,,,10,3,LONDON,,,UK,15,3,2,2,1,2,2,1,1.477877966101695,1,2
61,660,258,14,1,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,9:00:00,11:40:00,160,2,,,4,,,,1,2,1,1,1,2,1,6,3,6,4,4,4,4,4,5,6,6,6,6,6,4,0,,,,,5,6,6,5,4,4,0,,,4,0,,,1,3,0,,,5,3,4,4,2,,,,8,3,,,,AUSTRALIA,19,2,2,0,2,2,2,1,1.477877966101695,1,2
62,661,258,14,1,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,10:15 AM,11:40:00,85,2,3.0,,2,,,,1,1,1,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,5,5,5,5,5,5,0,,,5,1,,,0,,,,,1,5,5,5,2,,,,10,1,OAKLAND,CA,94621.0,US,3,2,1,1,3,2,2,1,1.477877966101695,1,2
